state,date,income_mean,income_median
Johor,01/01/2022,8517,6879
Kedah,01/01/2022,5550,4402
Kelantan,01/01/2022,4885,3614
Melaka,01/01/2022,8057,6210
Negeri Sembilan,01/01/2022,6788,5226
Pahang,01/01/2022,5777,4753
Perak,01/01/2022,5779,4494
Perlis,01/01/2022,5664,4713
Pulau Pinang,01/01/2022,8267,6502
Sabah,01/01/2022,6171,4577
Sarawak,01/01/2022,6457,4978
Selangor,01/01/2022,12233,9983
Terengganu,01/01/2022,7248,5878
W.P. Kuala Lumpur,01/01/2022,13325,10234
W.P. Putrajaya,01/01/2022,13473,10056
